Progress,UserLanguage,Collection,LE3.199,LE3.200,LE3.201,LE5.012,LE5.013,LE5.014,LE5.015,LE5.016,LE5.017,LE5.018,LE5.019,LE5.020,LE5.021,LE5.022,LE5.023,LE5.024,LE5.025,LE5.026,LE5.027,LE5.028,LE5.029,LE5.030,LE5.031
100,RU,Pilot,Strongly disagree,Strongly disagree,Strongly disagree,All the genes in DNA, , ,99.9%,Storing information for protein synthesis,90%,One gene,23 pairs,A change in gene expression, ,Many genes,Points of genetic variation,More than 90% the same,Is removed when passed from parent to offspring,No,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Agree,Strongly agree,Agree,The entire sequence of an individual's DNA, GCTA, ,75%,Storing information for protein synthesis,90%,Many genes,23 pairs,Gene splicing, , , , , ,Yes, ,No, , ,If someone has insomnia this is approximately 30% due to their genes
100,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot, , , ,All the genes in DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,90%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,True,If someone has insomnia this is approximately 30% due to their genes
4,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Agree,Agree,Agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,90%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,No,CRISPR,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, , ,99.9%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,Gene splicing, , , , , ,No,CRISPR,No,True, ,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly disagree,Strongly disagree,Strongly disagree,The entire sequence of an individual's DNA, GCTA, 23 copies, 50%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change of the genetic code itself,2000,One gene,Building blocks of the DNA,100% identical,Does not lead to the production of proteins,Yes,ERP,No,False,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GHPO, 1 copy,99.9%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change in gene expression,1 million,One gene,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,ERP,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GHPO, 1 copy,75%,Storing information for protein synthesis,Less 50%,One gene, 10 pairs,A change of the genetic code itself,20000,Many genes, , , , , , , , , 
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, HTPR, 23 copies,99.9%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,Gene splicing,20000,Many genes,Proteins found in the brain,100% identical,Does not lead to the production of proteins,Yes,PCR,No,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
100,ES-ES,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 1 copy, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,2000,Many genes,Points of genetic variation,About 50% the same,Is not composed of nucleotides,Yes,CERN,No,False,False,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Neither agree nor disagree,Agree,Agree,The entire sequence of an individual's DNA, HTPR, 23 copies,99.9%,Storing information for protein synthesis,90%,One gene,23 pairs,A change of the genetic code itself,3 billion,One gene,Points of genetic variation,100% identical,Is removed when passed from parent to offspring,Yes,CERN,No,True,False,Genetic influences account for approximately 30% of the differences between people in insomnia
29,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Strongly disagree,Strongly disagree,Strongly disagree,All the genes in DNA, GCTA, 23 copies, 50%,Storing information for protein synthesis,75%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Points of genetic variation,100% identical,Is removed when passed from parent to offspring,No,CRISPR,No,False,False,If someone has insomnia this is approximately 30% due to their genes
100,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,ES-ES,Pilot,Strongly agree,Agree,Agree,The entire sequence of an individual's DNA, HTPR, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,Entirely different,Is not composed of nucleotides,Yes,CERN,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Agree,Agree,Agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,Entirely different,Does not lead to the production of proteins,Yes,ERP,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Neither agree nor disagree,Agree,Agree,The entire sequence of an individual's DNA, GHPO, 1 copy,99.9%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change in gene expression,3 billion,One gene,Proteins found in the brain,About 50% the same,Does not lead to the production of proteins,Yes,CERN,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly disagree,Strongly disagree,Neither agree nor disagree,The entire sequence of an individual's DNA, GHPO, 2 copies,99.9%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,Gene splicing,3 billion,Many genes,Proteins found in the brain, ,Does not lead to the production of proteins,No,PCR,Yes,True,True,Approximately 30% of people will experience insomnia at some point in their lives
100,ES-ES,Pilot,Agree,Strongly agree,Agree,The entire sequence of an individual's DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,90%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Building blocks of the DNA,Entirely different,Is not composed of nucleotides,Yes,ERP,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Agree,Agree,Strongly agree,The entire sequence of an individual's DNA, GHPO, 2 copies,99.9%,Storing information for protein synthesis,More than 99%,One gene,23 pairs,A change of the genetic code itself,3 billion,One gene,Points of genetic variation,More than 90% the same,Is removed when passed from parent to offspring,Yes,ERP,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,All the genes in DNA, GHPO, 1 copy,75%,Storing information for protein synthesis,75%,Many genes,23 pairs,A change of the genetic code itself,1 million,One gene,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,No,CERN,No,False,False,Genetic influences account for approximately 30% of the differences between people in insomnia
100,ES-ES,Pilot,Agree, , ,The entire sequence of an individual's DNA, GCTA, 2 copies,75%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins, ,PCR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,EN,Pilot,Agree,Agree,Agree,Gene expression, , 2 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs, , ,Many genes, ,100% identical, ,Yes,CRISPR,No,False, ,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Agree,Neither agree nor disagree,The entire sequence of an individual's DNA, GCTA, 1 copy,75%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change in gene expression,3 billion,One gene,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,False,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly disagree,Strongly disagree,Strongly disagree,All the genes in DNA, HTPR, 23 copies,75%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,Entirely different,Does not lead to the production of proteins,Yes,CERN,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Neither agree nor disagree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 1 copy,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,PCR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Agree,Agree,Strongly agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,90%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, .01%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,False,False,There is an approximately 30% chance that someone will pass insomnia onto their children
100,EN,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,False,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Neither agree nor disagree, , ,The entire sequence of an individual's DNA, GCTA, 1 copy, 50%,To repair damage to a cell,More than 99%,One gene,23 pairs,Gene splicing,3 billion,One gene,Points of genetic variation,100% identical,Is removed when passed from parent to offspring,Yes,ERP,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 1 copy,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change of the genetic code itself,1 million,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Agree,Neither agree nor disagree,The entire sequence of an individual's DNA, GCTA, 1 copy, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Points of genetic variation,100% identical,Is removed when passed from parent to offspring,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Strongly disagree,Agree,The entire sequence of an individual's DNA, HTPR, 23 copies,99.9%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,Gene splicing,1 million,One gene,Points of genetic variation,Entirely different,Does not lead to the production of proteins,Yes,ERP,No,False,False,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Strongly agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Agree,Agree,Strongly agree,All the genes in DNA, GCTA, 23 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,Yes,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
100,ES-ES,Pilot,Strongly agree,Neither agree nor disagree,Agree,All the genes in DNA, GCTA, 1 copy,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Building blocks of the DNA,More than 90% the same,Does not lead to the production of proteins,Yes,CRISPR,No,True,False,There is an approximately 30% chance that someone will pass insomnia onto their children
29,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
69,RU,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,No,CRISPR,No,True,True, 
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,All the genes in DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
4,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,ES-ES,Pilot,Strongly agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 2 copies, .01%,Storing information for protein synthesis,More than 99%,One gene,23 pairs,A change of the genetic code itself,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
4,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
25,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
6,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Strongly agree,Strongly agree,Agree,All the genes in DNA, HTPR, 23 copies,75%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,20000,One gene,Building blocks of the DNA,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,False,If someone has insomnia this is approximately 30% due to their genes
4,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,ES-ES,Pilot,Agree,Agree,Agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
49,ES-ES,Pilot,Agree,Agree,Agree, , , , , , , , , , , , , , , , , , , , 
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
23,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Agree,Strongly agree,Agree,The entire sequence of an individual's DNA, GCTA, 1 copy, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change of the genetic code itself,1 million,One gene,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,PCR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
29,RU,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Neither agree nor disagree,Agree,Agree,All the genes in DNA, , 2 copies,75%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,No, ,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Agree,Agree,Agree,All the genes in DNA, GCTA, 1 copy, 50%,Storing information for protein synthesis,Less 50%,One gene, 48 pairs,A process by which human beings can consciously change their DNA,20000,Many genes,Points of genetic variation,100% identical,Is non-human DNA,Yes,PCR,Yes,True,True,If someone has insomnia this is approximately 30% due to their genes
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
22,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
9,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
34,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
22,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
50,ES-ES,Pilot,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree, , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
100,EN,Pilot,Strongly agree,Strongly agree,Strongly agree,All the genes in DNA, GCTA, 23 copies, 50%,Storing information for protein synthesis,More than 99%,One gene,23 pairs,A change in gene expression,20000,Many genes,Building blocks of the DNA,100% identical,Does not lead to the production of proteins,No,CRISPR,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Strongly agree,Agree,Agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,False,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Agree,Agree,Strongly agree,The entire sequence of an individual's DNA, , , 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression, ,Many genes,Points of genetic variation,About 50% the same,Does not lead to the production of proteins,Yes, ,No,True,True,If someone has insomnia this is approximately 30% due to their genes
72,EN,Pilot,Agree,Agree,Strongly agree,All the genes in DNA, GCTA, 23 copies, 50%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A change of the genetic code itself,20000,One gene,Points of genetic variation,Entirely different,Is non-human DNA,Yes,PCR,No,True,True,Approximately 30% of people will experience insomnia at some point in their lives
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 23 copies,99.9%,Storing information for protein synthesis,75%,Many genes,23 pairs,A change of the genetic code itself,3 billion,One gene,Deoxyribonucleic Acid,100% identical,Is not composed of nucleotides,No,CRISPR,No,True,True,If someone has insomnia this is approximately 30% due to their genes
100,ES-ES,Pilot,Disagree, , ,All the genes in DNA, HTPR, 23 copies,99.9%,To clear out waste from the cell,75%,One gene,23 pairs,A process by which human beings can consciously change their DNA,20000,One gene,Proteins found in the brain,Entirely different,Does not lead to the production of proteins,Yes,CRISPR,Yes,True,False,Approximately 30% of people will experience insomnia at some point in their lives
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
20,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
3,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
22,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
24,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
73,ES-ES,Pilot,Agree,Agree,Agree,The entire sequence of an individual's DNA, GCTA, 23 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change of the genetic code itself,1 million,Many genes,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
10,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
73,ES-ES,Pilot,Strongly agree,Strongly disagree,Neither agree nor disagree,All the genes in DNA, , ,99.9%,Storing information for protein synthesis,More than 99%,One gene,23 pairs,A change of the genetic code itself,3 billion,Many genes,Points of genetic variation,100% identical,Is not composed of nucleotides,No, ,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
23,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
21,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
30,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
9,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
46,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree, , , , , , , , , , , , , , , , , , , , 
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
70,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
100,EN,Pilot,Strongly agree,Strongly agree,Strongly agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,False,False,Genetic influences account for approximately 30% of the differences between people in insomnia
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot,Strongly agree,Strongly agree,Strongly agree,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,False,There is an approximately 30% chance that someone will pass insomnia onto their children
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
